year,crop_group,n_records,n_plots,n_nitrogen_rates,nitrogen_min_kg_ha,nitrogen_max_kg_ha
1999,corn,9,9,9,0.0,291.0
2000,corn,34,34,9,0.0,291.0
2001,corn,35,35,9,0.0,291.0
2002,corn,67,67,9,0.0,291.0
2003,corn,36,36,9,0.0,291.0
2004,corn,36,36,9,0.0,291.0
2005,corn,72,36,9,0.0,291.0
2006,soybean,36,36,1,0.0,0.0
2007,wheat,36,36,9,0.0,179.0
2008,corn,36,36,9,0.0,291.0
2009,soybean,36,36,1,0.0,0.0
2010,wheat,36,36,9,0.0,179.0
2011,corn,36,36,9,0.0,291.0
2012,soybean,36,36,9,0.0,146.0
2013,wheat,32,32,9,0.0,179.0
2014,corn,36,36,9,0.0,291.0
2015,soybean,36,36,1,0.0,0.0
2016,wheat,36,36,9,0.0,179.0
2017,corn,36,36,9,0.0,291.0
2018,soybean,36,36,1,0.0,0.0
2019,wheat,36,36,9,0.0,179.0
2020,corn,36,36,9,0.0,291.0
2021,soybean,36,36,1,0.0,0.0
2022,wheat,36,36,9,0.0,179.0
2023,corn,36,36,9,0.0,291.0
2024,soybean,36,36,1,0.0,0.0
2025,wheat,36,36,9,0.0,179.0
