excluded_year_1,excluded_year_2,effect_kg_ha_per_100kgN_per_1sd
1999,2000,-258.06418983268986
1999,2001,-308.8334173043134
1999,2002,-239.5102938311294
1999,2003,-257.99064396330084
1999,2004,-214.3245375632256
1999,2005,-278.3710439736467
1999,2006,-254.55037348507585
1999,2007,-262.18103081466546
1999,2008,-258.815466155708
1999,2009,-254.56381066523085
1999,2010,-252.76362497387538
1999,2011,-250.5431497990847
1999,2012,-254.565797512065
1999,2013,-265.23687419341286
1999,2014,-231.8081432328853
1999,2015,-254.50983255498977
1999,2016,-250.9641758540398
1999,2017,-269.53085410646173
1999,2018,-254.52984527746173
1999,2019,-229.81413361919817
1999,2020,-260.87112597151844
1999,2021,-254.54605118171293
1999,2022,-256.99013234330823
1999,2023,-254.56670997079635
1999,2024,-254.45423763550755
1999,2025,-258.91735731783393
2000,2001,-344.83582066711455
2000,2002,-248.83585302429464
2000,2003,-264.16502371999445
2000,2004,-180.61389782360519
2000,2005,-286.3955098626076
2000,2006,-258.1300952170027
2000,2007,-265.57678966207686
2000,2008,-271.9983091670276
2000,2009,-258.0913941844251
2000,2010,-257.40143185362217
2000,2011,-250.25760563366427
2000,2012,-258.1415400887702
2000,2013,-271.61141502260733
2000,2014,-230.8821505378284
2000,2015,-258.1351677543422
2000,2016,-253.83119951791232
2000,2017,-273.8129657998859
2000,2018,-258.1428499299268
2000,2019,-230.6651927391822
2000,2020,-266.42999907748754
2000,2021,-258.1571803408565
2000,2022,-259.64756623866737
2000,2023,-258.1911059746632
2000,2024,-258.16899251228665
2000,2025,-264.03043245675553
2001,2002,-296.74065597168925
2001,2003,-322.07949144684557
2001,2004,-243.66555361559296
2001,2005,-356.8935402012177
2001,2006,-308.74073275829585
2001,2007,-315.9439976680828
2001,2008,-322.0266682904443
2001,2009,-308.7937451812196
2001,2010,-307.749930413772
2001,2011,-302.47454986753166
2001,2012,-308.76532985535056
2001,2013,-322.3838864617093
2001,2014,-293.8190354607181
2001,2015,-308.6854627114084
2001,2016,-304.8993379216575
2001,2017,-325.4303424968783
2001,2018,-308.7083953052062
2001,2019,-284.3729655338434
2001,2020,-318.928744883096
2001,2021,-308.71545915285486
2001,2022,-310.4609561837911
2001,2023,-309.4200303498145
2001,2024,-308.58877690718714
2001,2025,-319.5294941545706
2002,2003,-244.58688990132052
2002,2004,-207.3230167490083
2002,2005,-162.3733138352756
2002,2006,-239.4570786357116
2002,2007,-245.6361533420216
2002,2008,-241.08619826658008
2002,2009,-239.4707230925519
2002,2010,-237.13770678139028
2002,2011,-236.6014088196023
2002,2012,-239.4729630357424
2002,2013,-250.13799766182524
2002,2014,-216.2643537477364
2002,2015,-239.41690411660358
2002,2016,-235.78172876181188
2002,2017,-254.46594000810057
2002,2018,-239.43683570800607
2002,2019,-212.55467039368557
2002,2020,-245.83378450206314
2002,2021,-239.45281596679382
2002,2022,-241.9756343028019
2002,2023,-239.46452794691209
2002,2024,-239.3617977425406
2002,2025,-244.49325407090967
2003,2004,-207.17978990522798
2003,2005,-278.6213900484939
2003,2006,-257.9317980781219
2003,2007,-265.36469123328715
2003,2008,-265.608958472249
2003,2009,-257.9468433073656
2003,2010,-256.43756887115825
2003,2011,-252.62896721150074
2003,2012,-257.9487559080234
2003,2013,-269.2774949655132
2003,2014,-234.97653633142747
2003,2015,-257.88580558724817
2003,2016,-254.2758600661448
2003,2017,-273.9107621730311
2003,2018,-257.908324584393
2003,2019,-232.98004856224443
2003,2020,-264.5355002331166
2003,2021,-257.92685302571965
2003,2022,-260.1386440450228
2003,2023,-257.97289312952904
2003,2024,-257.8227677595405
2003,2025,-262.99366508314284
2004,2005,-348.69659742092335
2004,2006,-214.274392206222
2004,2007,-224.03702766613003
2004,2008,-219.26481919742318
2004,2009,-214.28890316151768
2004,2010,-212.91489872171834
2004,2011,-208.08184031453368
2004,2012,-214.29082210830657
2004,2013,-224.47381789250684
2004,2014,-174.90617585263516
2004,2015,-214.23038529003466
2004,2016,-210.5865583186945
2004,2017,-228.39383545087517
2004,2018,-214.25199038005985
2004,2019,-188.67936341929757
2004,2020,-220.63982155552378
2004,2021,-214.26967196257274
2004,2022,-217.02881673023592
2004,2023,-214.24098436658696
2004,2024,-214.1700577879233
2004,2025,-213.53310277731808
2005,2006,-278.2969777176073
2005,2007,-312.66599379333036
2005,2008,-217.90031884172512
2005,2009,-278.3263213847739
2005,2010,-268.1244372739224
2005,2011,-299.1890826441395
2005,2012,-278.33722270498123
2005,2013,-305.1508812359464
2005,2014,-223.87312037049702
2005,2015,-278.22857641572807
2005,2016,-267.93023808141567
2005,2017,-292.5789168261632
2005,2018,-278.26577408785454
2005,2019,-197.27667448254903
2005,2020,-304.9666513295904
2005,2021,-278.29066000758564
2005,2022,-289.81611282626585
2005,2023,-278.43447074880584
2005,2024,-278.13447997472946
2005,2025,-289.98332955219115
2006,2007,-262.11241461115594
2006,2008,-258.7641078585116
2006,2009,-254.50846096072954
2006,2010,-252.7075707597871
2006,2011,-250.4907696110377
2006,2012,-254.51033756218445
2006,2013,-265.1458567355228
2006,2014,-231.75110612323255
2006,2015,-254.45243962347817
2006,2016,-250.91430593608752
2006,2017,-269.4820073344789
2006,2018,-254.47387842601395
2006,2019,-229.7766814999021
2006,2020,-260.82194166154414
2006,2021,-254.4906566499963
2006,2022,-256.9406190585734
2006,2023,-254.51059357320915
2006,2024,-254.39363352329516
2006,2025,-258.8499994256073
2007,2008,-266.2481608677398
2007,2009,-262.1269033003154
2007,2010,-257.8404661891421
2007,2011,-257.58733250360314
2007,2012,-262.1234998785096
2007,2013,-268.5828077145886
2007,2014,-239.63955566710246
2007,2015,-262.069403532282
2007,2016,-261.2232166844957
2007,2017,-280.7050232965628
2007,2018,-262.08871015622395
2007,2019,-238.39150241890428
2007,2020,-267.409747140834
2007,2021,-262.1060854985083
2007,2022,-263.0127493897779
2007,2023,-262.1990391695565
2007,2024,-262.00910840421244
2007,2025,-268.91806981127684
2008,2009,-258.7782132594885
2008,2010,-256.95974505940967
2008,2011,-255.2068102621629
2008,2012,-258.78023150398616
2008,2013,-269.4787967699732
2008,2014,-243.83857223926782
2008,2015,-258.72170159223
2008,2016,-255.19257230505352
2008,2017,-275.63329146573653
2008,2018,-258.7425851482043
2008,2019,-234.17301980193037
2008,2020,-262.6770165226451
2008,2021,-258.7595739114087
2008,2022,-261.1768109564683
2008,2023,-258.64251602807775
2008,2024,-258.66355856809525
2008,2025,-263.5578742114624
2009,2010,-252.72190024887203
2009,2011,-250.5048802347649
2009,2012,-254.52436623226117
2009,2013,-265.16084860772287
2009,2014,-231.76711816711412
2009,2015,-254.46558724057184
2009,2016,-250.92865321286666
2009,2017,-269.4960405489913
2009,2018,-254.48702604310998
2009,2019,-229.79148142597768
2009,2020,-260.8366419430078
2009,2021,-254.5038042670918
2009,2022,-256.95489656995227
2009,2023,-254.52469167411385
2009,2024,-254.40678114039156
2009,2025,-258.8654821174327
2010,2011,-248.63406973229885
2010,2012,-252.7230703292364
2010,2013,-264.03608998868157
2010,2014,-228.77682116585805
2010,2015,-252.66557401414124
2010,2016,-249.88488567907783
2010,2017,-267.69466029551694
2010,2018,-252.68593582325315
2010,2019,-230.4575922746757
2010,2020,-259.5949380912705
2010,2021,-252.7028757748801
2010,2022,-255.38436868424574
2010,2023,-252.76311767404383
2010,2024,-252.60781134360641
2010,2025,-255.1538350836791
2011,2012,-250.50682815860037
2011,2013,-261.25056818601007
2011,2014,-221.31223679470088
2011,2015,-250.44829659746935
2011,2016,-246.89417496286052
2011,2017,-265.1977618724257
2011,2018,-250.46919898678405
2011,2019,-225.27221591318147
2011,2020,-258.8311272031878
2011,2021,-250.4862211645479
2011,2022,-252.88633024933043
2011,2023,-250.5679782515827
2011,2024,-250.39005930213958
2011,2025,-255.17833671380177
2012,2013,-265.1487381129387
2012,2014,-231.76853145484682
2012,2015,-254.46813564704613
2012,2016,-250.93177326209798
2012,2017,-269.49787714201864
2012,2018,-254.48894532019014
2012,2019,-229.80000882831027
2012,2020,-260.8390816099201
2012,2021,-254.5058291966223
2012,2022,-256.9579561005594
2012,2023,-254.52672118323548
2012,2024,-254.41027238845595
2012,2025,-258.862290563781
2013,2014,-243.20226960281028
2013,2015,-265.1003143850396
2013,2016,-261.54037971863625
2013,2017,-279.769033023775
2013,2018,-265.11813832275004
2013,2019,-244.03008691398747
2013,2020,-272.4560283498093
2013,2021,-265.1367110693644
2013,2022,-269.525434516036
2013,2023,-265.3015340312402
2013,2024,-265.0342943729086
2013,2025,-266.1944403023181
2014,2015,-231.70162543548582
2014,2016,-227.6235977809932
2014,2017,-259.7323095897499
2014,2018,-231.72562935049154
2014,2019,-200.77423837161865
2014,2020,-236.36560072913858
2014,2021,-231.74562802262068
2014,2022,-235.04787301159365
2014,2023,-230.3453859491014
2014,2024,-231.63371478400697
2014,2025,-236.0962461227555
2015,2016,-250.87253737875295
2015,2017,-269.43965633668336
2015,2018,-254.4310047058482
2015,2019,-229.73455025532786
2015,2020,-260.77819083707476
2015,2021,-254.44778292983372
2015,2022,-256.8990815143711
2015,2023,-254.46831183794913
2015,2024,-254.3507598031357
2015,2025,-258.8036491907223
2016,2017,-265.9044259255781
2016,2018,-250.89341641021323
2016,2019,-220.37784367953574
2016,2020,-257.18032517626864
2016,2021,-250.91024521056607
2016,2022,-253.1035222236571
2016,2023,-250.92493905024614
2016,2024,-250.81554023219283
2016,2025,-258.03044048155454
2017,2018,-269.4604530805156
2017,2019,-246.26128507169943
2017,2020,-269.84588976023207
2017,2021,-269.4774401781684
2017,2022,-272.58417330113394
2017,2023,-270.4055401017735
2017,2024,-269.3815681844998
2017,2025,-271.76928626395085
2018,2019,-229.75745075420957
2018,2020,-260.79989083398686
2018,2021,-254.4692217323734
2018,2022,-256.9198422740882
2018,2023,-254.48916063439162
2018,2024,-254.37219860567194
2018,2025,-258.8245608015428
2019,2020,-236.1054823346422
2019,2021,-229.77434928262176
2019,2022,-233.18015746349147
2019,2023,-229.73467262863818
2019,2024,-229.67835803295768
2019,2025,-235.96807747974088
2020,2021,-260.8173616503844
2020,2022,-262.7058608003706
2020,2023,-262.3253216557348
2020,2024,-260.71825421750793
2020,2025,-266.9349944167346
2021,2022,-256.9365738054004
2021,2023,-254.50608602180063
2021,2024,-254.38897682965276
2021,2025,-258.84334464453116
2022,2023,-256.9185617734038
2022,2024,-256.842392574981
2022,2025,-259.08286337524123
2023,2024,-254.41034376930824
2023,2025,-259.0640764531462
2024,2025,-258.7388231348876
