date,plot,location,treatment,replicate,irrigated,fertilizer_rate_kg_ha,crop,yield_kg_ha,year,crop_group,scheduled_n_rate_kg_ha,rate_recovered,n_rate_kg_ha,heat_days_30c_gs,dry_days_lt1mm_gs,n100,irrigated_binary,time_c,heat_days_30c_gs_z,dry_days_lt1mm_gs_z,heat_dry_stress_z,status
1999-10-13,901,A,8,1,f,246.0,Zea mays L.,3482.0,1999,corn,246,False,246.0,34,172,2.46,0,-1.3782847718526683,0.3376186099404974,2.026038104639134,1.6713576912763732,reported
1999-10-13,902,A,3,1,f,67.0,Zea mays L.,3835.0,1999,corn,67,False,67.0,34,172,0.67,0,-1.3782847718526683,0.3376186099404974,2.026038104639134,1.6713576912763732,reported
1999-10-13,903,A,7,1,f,202.0,Zea mays L.,3018.0,1999,corn,202,False,202.0,34,172,2.02,0,-1.3782847718526683,0.3376186099404974,2.026038104639134,1.6713576912763732,reported
1999-10-13,904,A,4,1,f,101.0,Zea mays L.,3632.0,1999,corn,101,False,101.0,34,172,1.01,0,-1.3782847718526683,0.3376186099404974,2.026038104639134,1.6713576912763732,reported
1999-10-13,905,A,9,1,f,291.0,Zea mays L.,4430.0,1999,corn,291,False,291.0,34,172,2.91,0,-1.3782847718526683,0.3376186099404974,2.026038104639134,1.6713576912763732,reported
1999-10-13,906,A,2,1,f,34.0,Zea mays L.,4283.0,1999,corn,34,False,34.0,34,172,0.34,0,-1.3782847718526683,0.3376186099404974,2.026038104639134,1.6713576912763732,reported
1999-10-13,907,A,5,1,f,134.0,Zea mays L.,4648.0,1999,corn,134,False,134.0,34,172,1.34,0,-1.3782847718526683,0.3376186099404974,2.026038104639134,1.6713576912763732,reported
1999-10-13,908,A,6,1,f,168.0,Zea mays L.,4319.0,1999,corn,168,False,168.0,34,172,1.68,0,-1.3782847718526683,0.3376186099404974,2.026038104639134,1.6713576912763732,reported
1999-10-13,909,A,1,1,f,0.0,Zea mays L.,3813.0,1999,corn,0,False,0.0,34,172,0.0,0,-1.3782847718526683,0.3376186099404974,2.026038104639134,1.6713576912763732,reported
2000-12-04,101,B,1,1,f,0.0,Zea mays L.,3837.0,2000,corn,0,False,0.0,4,157,0.0,0,-1.2782847718526682,-1.9679561046700578,0.6389988451966858,-0.9397146900807115,reported
2000-12-04,102,B,2,1,f,34.0,Zea mays L.,6074.0,2000,corn,34,False,34.0,4,157,0.34,0,-1.2782847718526682,-1.9679561046700578,0.6389988451966858,-0.9397146900807115,reported
2000-12-04,103,B,3,1,f,67.0,Zea mays L.,7858.0,2000,corn,67,False,67.0,4,157,0.67,0,-1.2782847718526682,-1.9679561046700578,0.6389988451966858,-0.9397146900807115,reported
2000-12-04,104,B,4,1,f,101.0,Zea mays L.,9262.0,2000,corn,101,False,101.0,4,157,1.01,0,-1.2782847718526682,-1.9679561046700578,0.6389988451966858,-0.9397146900807115,reported
2000-12-04,106,B,6,1,f,168.0,Zea mays L.,10056.0,2000,corn,168,False,168.0,4,157,1.68,0,-1.2782847718526682,-1.9679561046700578,0.6389988451966858,-0.9397146900807115,reported
2000-12-04,107,B,7,1,f,202.0,Zea mays L.,9644.0,2000,corn,202,False,202.0,4,157,2.02,0,-1.2782847718526682,-1.9679561046700578,0.6389988451966858,-0.9397146900807115,reported
2000-12-04,108,B,8,1,f,246.0,Zea mays L.,9367.0,2000,corn,246,False,246.0,4,157,2.46,0,-1.2782847718526682,-1.9679561046700578,0.6389988451966858,-0.9397146900807115,reported
2000-12-04,109,B,9,1,f,291.0,Zea mays L.,9363.0,2000,corn,291,False,291.0,4,157,2.91,0,-1.2782847718526682,-1.9679561046700578,0.6389988451966858,-0.9397146900807115,reported
2000-12-04,201,B,7,2,f,202.0,Zea mays L.,10062.0,2000,corn,202,False,202.0,4,157,2.02,0,-1.2782847718526682,-1.9679561046700578,0.6389988451966858,-0.9397146900807115,reported
2000-12-04,202,B,2,2,f,34.0,Zea mays L.,6079.0,2000,corn,34,False,34.0,4,157,0.34,0,-1.2782847718526682,-1.9679561046700578,0.6389988451966858,-0.9397146900807115,reported
2000-12-04,203,B,1,2,f,0.0,Zea mays L.,5042.0,2000,corn,0,False,0.0,4,157,0.0,0,-1.2782847718526682,-1.9679561046700578,0.6389988451966858,-0.9397146900807115,reported
2000-12-04,204,B,5,2,f,134.0,Zea mays L.,8848.0,2000,corn,134,False,134.0,4,157,1.34,0,-1.2782847718526682,-1.9679561046700578,0.6389988451966858,-0.9397146900807115,reported
