analysis_id,population,stress_definition,time_trend_adjusted,n_rows,n_years,n_plots,effect_kg_ha_per_100kgN_per_1sd_stress,cluster_year_se,cluster_year_p,cluster_year_ci_low,cluster_year_ci_high,r_squared,year_block_bootstrap_ci_low,year_block_bootstrap_ci_high,year_label_permutation_p_two_sided,label
rainfed_heat_dry_stress_z_base,rainfed,heat_dry_stress_z,False,1005,27,76,-385.1228299635793,110.1195819595116,0.0004699671204431,-600.9532445968288,-169.29241533032987,0.8796175124735053,,,,Rainfed | Heat-dry index | base
rainfed_heat_dry_stress_z_trend,rainfed,heat_dry_stress_z,True,1005,27,76,-254.60206129970197,70.60947320164414,0.0003112195191081,-392.99408574227056,-116.21003685713332,0.8990379926392491,-545.9586292129619,323.3745605631455,0.2362728785357737,Rainfed | Heat-dry index | N x time
rainfed_heat_days_30c_gs_z_base,rainfed,heat_days_30c_gs_z,False,1005,27,76,-284.6500313139543,185.943825173206,0.1258092255457856,-649.0932318010504,79.79316917314179,0.8726132266854203,,,,Rainfed | Heat days >30 C | base
rainfed_heat_days_30c_gs_z_trend,rainfed,heat_days_30c_gs_z,True,1005,27,76,-250.21880167562955,76.6279232499957,0.0010931976357409,-400.40677145572056,-100.03083189553853,0.8982231092360097,,,,Rainfed | Heat days >30 C | N x time
rainfed_dry_days_lt1mm_gs_z_base,rainfed,dry_days_lt1mm_gs_z,False,1005,27,76,-577.4413868627012,172.6139260891499,0.0008220044787002,-915.7584652274938,-239.1243084979085,0.8823837289973457,,,,Rainfed | Dry days <1 mm | base
rainfed_dry_days_lt1mm_gs_z_trend,rainfed,dry_days_lt1mm_gs_z,True,1005,27,76,-301.37354608683324,145.31608003250113,0.0380869832793112,-586.1878293250755,-16.559262848590947,0.897301161740611,,,,Rainfed | Dry days <1 mm | N x time
all_plots_heat_dry_stress_z_base,all_plots,heat_dry_stress_z,False,1819,27,81,-398.5689215208061,102.74861301857476,0.0001048571707938,-599.9525024986559,-197.18534054295623,0.871590727181389,,,,All plots | Heat-dry index | base
all_plots_heat_dry_stress_z_trend,all_plots,heat_dry_stress_z,True,1819,27,81,-187.14776107696392,87.14294905117599,0.0317459435164212,-357.94480272387773,-16.350719430050106,0.891327115843243,,,,All plots | Heat-dry index | N x time
all_plots_heat_days_30c_gs_z_base,all_plots,heat_days_30c_gs_z,False,1819,27,81,-208.4356929907321,220.98214831157992,0.3455662771719411,-641.5527449077174,224.6813589262533,0.8645542441435223,,,,All plots | Heat days >30 C | base
all_plots_heat_days_30c_gs_z_trend,all_plots,heat_days_30c_gs_z,True,1819,27,81,-115.57662994244944,129.5755847796231,0.3724127538575607,-369.54010938622713,138.38684950132824,0.8901630709688114,,,,All plots | Heat days >30 C | N x time
all_plots_dry_days_lt1mm_gs_z_base,all_plots,dry_days_lt1mm_gs_z,False,1819,27,81,-688.1170526808186,150.32009300556874,4.701646271301124e-06,-982.7390211244448,-393.4950842371925,0.8780839338884723,,,,All plots | Dry days <1 mm | base
all_plots_dry_days_lt1mm_gs_z_trend,all_plots,dry_days_lt1mm_gs_z,True,1819,27,81,-324.95368369360364,116.53031973686896,0.0052940281162679,-553.3489134848038,-96.55845390240349,0.8922153200508585,,,,All plots | Dry days <1 mm | N x time
