analysis_id,population,stress_definition,time_trend_adjusted,n_rows,n_years,n_plots,effect_kg_ha_per_100kgN_per_1sd_stress,cluster_year_se,cluster_year_p,cluster_year_ci_low,cluster_year_ci_high,r_squared,excluded_year
leave_out_1999,rainfed,heat_dry_stress_z,True,996,26,67,-254.6020612997012,70.30519859329355,0.0002930321575111,-392.3977184684926,-116.80640413090973,0.8985646319399485,1999
leave_out_2000,rainfed,heat_dry_stress_z,True,971,26,76,-258.06418983269623,105.64917306974684,0.0145797786204151,-465.1327640458391,-50.99561561955343,0.899578248795728,2000
leave_out_2001,rainfed,heat_dry_stress_z,True,970,26,76,-308.8334173043097,78.34795368200733,8.08661437892402e-05,-462.3925847834564,-155.27424982516305,0.906304673675154,2001
leave_out_2002,rainfed,heat_dry_stress_z,True,938,26,45,-239.51029383113567,68.05388447260191,0.0004324892493094,-372.893456405485,-106.12713125678631,0.9027979176592468,2002
leave_out_2003,rainfed,heat_dry_stress_z,True,969,26,76,-257.99064396330147,79.94719580933874,0.001250897561717,-414.6842684145769,-101.297019512026,0.8998353812930391,2003
leave_out_2004,rainfed,heat_dry_stress_z,True,969,26,76,-214.32453756322303,69.57295057525913,0.0020660285698675,-350.6850149889161,-77.96406013752991,0.9155375782539412,2004
leave_out_2005,rainfed,heat_dry_stress_z,True,933,26,76,-278.37104397363896,162.68721849963043,0.087066120855574,-597.232132977913,40.49004503063509,0.9148633250701896,2005
leave_out_2006,rainfed,heat_dry_stress_z,True,969,26,76,-254.5503734850702,70.746673133078,0.0003206066579278,-393.21130485193055,-115.88944211820984,0.8982808575527632,2006
leave_out_2007,rainfed,heat_dry_stress_z,True,969,26,76,-262.1810308146672,70.0816689505574,0.0001832322129011,-399.53857793421867,-124.8234836951157,0.896970255414772,2007
leave_out_2008,rainfed,heat_dry_stress_z,True,969,26,76,-258.81546615570335,75.34421397105926,0.0005923190536403,-406.4874119824591,-111.14352032894764,0.9036537064693128,2008
leave_out_2009,rainfed,heat_dry_stress_z,True,969,26,76,-254.5638106652289,70.7653944434367,0.0003215470358817,-393.2614351261357,-115.8661862043221,0.8964015887634094,2009
leave_out_2010,rainfed,heat_dry_stress_z,True,969,26,76,-252.76362497386643,70.12340301517928,0.0003126888807667,-390.20296935700526,-115.3242805907276,0.8965484682396497,2010
leave_out_2011,rainfed,heat_dry_stress_z,True,969,26,76,-250.54314979908145,72.84938021524722,0.0005834490092522,-393.3253113170308,-107.76098828113209,0.8867156147557423,2011
leave_out_2012,rainfed,heat_dry_stress_z,True,969,26,76,-254.5657975120614,70.74719569723445,0.0003203708083403,-393.227753085848,-115.9038419382748,0.8951769958832476,2012
leave_out_2013,rainfed,heat_dry_stress_z,True,973,26,76,-265.2368741934064,71.12441907060757,0.0001920919644241,-404.638173993131,-125.83557439368175,0.8985943612576069,2013
leave_out_2014,rainfed,heat_dry_stress_z,True,969,26,76,-231.8081432328835,86.09521847816575,0.0070926521089349,-400.5516706911957,-63.06461577457128,0.8893889730362886,2014
leave_out_2015,rainfed,heat_dry_stress_z,True,969,26,76,-254.5098325549891,70.74185734440348,0.0003210113016521,-393.1613251494903,-115.85833996048794,0.899772887413393,2015
leave_out_2016,rainfed,heat_dry_stress_z,True,969,26,76,-250.9641758540382,72.19008378441174,0.0005081262822032,-392.45414011241417,-109.4742115956622,0.8988586731881312,2016
leave_out_2017,rainfed,heat_dry_stress_z,True,969,26,76,-269.5308541064607,68.46626881184913,8.261131386828641e-05,-403.722275133523,-135.33943307939845,0.8980376120152894,2017
leave_out_2018,rainfed,heat_dry_stress_z,True,969,26,76,-254.52984527745883,70.74113271845856,0.0003206169975447,-393.1799176312056,-115.879772923712,0.8987931343614227,2018
leave_out_2019,rainfed,heat_dry_stress_z,True,969,26,76,-229.81413361919212,71.43897928720853,0.0012957059981558,-369.8319601144237,-89.79630712396053,0.8989046908365562,2019
leave_out_2020,rainfed,heat_dry_stress_z,True,969,26,76,-260.8711259715242,72.5156315721057,0.0003213562102389,-402.999152169027,-118.74309977402136,0.8926058036226685,2020
leave_out_2021,rainfed,heat_dry_stress_z,True,969,26,76,-254.5460511817166,70.73559059071928,0.0003199877841533,-393.1852611646967,-115.90684119873646,0.8999604843666712,2021
leave_out_2022,rainfed,heat_dry_stress_z,True,969,26,76,-256.9901323433114,69.81933912837228,0.0002325149656006,-393.8335224593093,-120.14674222731358,0.8969877377504615,2022
leave_out_2023,rainfed,heat_dry_stress_z,True,969,26,76,-254.56670997079655,70.81623548270494,0.0003247023849628,-393.36398103760575,-115.76943890398744,0.8920468948563067,2023
leave_out_2024,rainfed,heat_dry_stress_z,True,969,26,76,-254.45423763550613,70.72413151069955,0.000320868661103,-393.0709882343516,-115.83748703666066,0.8994936902432238,2024
leave_out_2025,rainfed,heat_dry_stress_z,True,969,26,76,-258.9173573178356,75.33947068977804,0.0005888994156246,-406.5800064841116,-111.2547081515596,0.9005615589233049,2025
