plot,n_rate_kg_ha,irrigated_binary,mineral_n_ug_g,moisture,temperature
101,0.0,0,10.0375,12.65125,26.0
102,34.0,0,50.88125,12.36375,27.375
103,67.0,0,104.6775,11.85,25.75
104,101.0,0,91.14874999999999,11.7525,26.125
105,134.0,0,144.93,11.48,27.5
106,168.0,0,43.8025,11.08125,27.0
107,202.0,0,165.86125,10.795,28.25
108,246.0,0,298.4125,11.889999999999999,28.5
109,291.0,0,279.42625,11.21875,27.875
201,202.0,0,188.49125,8.39125,28.75
202,34.0,0,42.90625,9.8775,28.875
203,0.0,0,10.69625,11.075,28.875
204,134.0,0,159.9275,10.24375,27.875
205,67.0,0,65.47749999999999,10.76,28.125
206,291.0,0,167.0275,10.03,30.125
207,246.0,0,233.56125,9.125,29.25
208,101.0,0,91.88875,10.48625,29.375
209,168.0,0,171.34125,10.42,27.125
301,291.0,0,,,22.625
302,67.0,0,,,23.0
303,246.0,0,,,22.75
304,34.0,0,,,22.0
305,101.0,0,,,22.5
306,134.0,0,,,22.0
307,202.0,0,,,22.125
308,168.0,0,,,22.0
309,0.0,0,,,22.125
401,134.0,0,,,23.625
402,168.0,0,,,23.375
403,101.0,0,,,22.375
404,0.0,0,,,22.5
405,246.0,0,,,22.75
406,34.0,0,,,22.125
407,67.0,0,,,22.75
408,202.0,0,,,22.625
409,291.0,0,,,23.25
