model,outer_year,n_test,rmse_kg_ha,mae_kg_ha,r2_outer_year
management_only,1989,24,1280.5608746889702,1015.9580197984776,0.8272733300309014
management_plus_landsat,1989,24,1247.7346994661914,1014.429613128683,0.8360152549242142
management_only,1990,24,1520.640654111938,1135.127078402002,-0.6638582017754739
management_plus_landsat,1990,24,1319.2909031311776,986.834959326913,-0.2524034444598191
management_only,1991,20,1263.6737553883356,982.0930389829869,0.7448837319214939
management_plus_landsat,1991,20,971.756043464422,800.503964038764,0.8491370061764346
management_only,1992,24,1379.2516377276552,1307.8370349854742,-7.929273533571017
management_plus_landsat,1992,24,904.936744562087,786.6427549726113,-2.843842251726782
management_only,1993,24,1612.312880913705,1348.8225767920162,0.1303646399922856
management_plus_landsat,1993,24,1935.300435065261,1648.0195099128662,-0.2529545899788901
management_only,1994,23,1111.241708418135,846.5537006824387,-14.012631560829824
management_plus_landsat,1994,23,1096.239354399812,808.8065152444364,-13.610010809016687
management_only,1995,23,733.1858584205448,622.4756955632259,-0.9649767311548888
management_plus_landsat,1995,23,1216.1809967944073,1106.459169148605,-4.406617909427827
management_only,1996,23,3656.74622710638,3550.7046511214185,-12.06948370540181
management_plus_landsat,1996,23,3360.3757785999696,3233.768192434598,-10.036833198369443
management_only,1997,23,1350.7742892199774,1179.7554127880703,-29.344947821384373
management_plus_landsat,1997,23,1719.33593066971,1466.4033037853774,-48.16344440667306
management_only,1998,23,1507.4485553445757,1466.549147887835,-2.820259892271131
management_plus_landsat,1998,23,361.9756337191556,288.4032109294894,0.7797243033744119
management_only,1999,23,2936.629234886868,2751.7287247584727,-50.00854946365517
management_plus_landsat,1999,23,3219.6879652854223,3096.8775936027087,-60.315786899957466
management_only,2000,23,905.132719486548,738.5570425459417,-20.12563689267662
management_plus_landsat,2000,23,876.2490633590825,770.3779340288517,-18.79887052305961
management_only,2001,23,502.8438810164407,403.6738117992823,0.2993826686039113
management_plus_landsat,2001,23,723.1031893401924,625.6762748741938,-0.4488221972940125
management_only,2002,24,1818.560351434811,1486.8964011916275,-1.460522495750392
management_plus_landsat,2002,24,1824.461812013349,1582.0892638707053,-1.4765178265895562
management_only,2003,24,1594.4335101013576,1478.972805225014,-17.11274898384355
management_plus_landsat,2003,24,1197.429902059126,1093.3758399762637,-9.21578490005846
management_only,2004,24,226.65730740518995,168.71274525698018,0.9147099621344392
management_plus_landsat,2004,24,563.5170918887738,445.5301920340257,0.4728028632793285
management_only,2005,3,950.3224759297884,915.0197344408822,0.5845581654968303
management_plus_landsat,2005,3,2340.720222912025,2028.715571506473,-1.5203870545280034
management_only,2006,24,903.651445449872,624.4401302116801,-6.568355279943509
management_plus_landsat,2006,24,1123.815931036787,918.6605648643076,-10.705500402634769
management_only,2007,24,861.8586842749751,745.065069730132,-0.0095686282674343
management_plus_landsat,2007,24,1241.334185859473,888.9431522682094,-1.0943109061343628
management_only,2008,24,1908.114386124007,1755.8261183740444,-1.4559655836626728
management_plus_landsat,2008,24,1410.2654895980434,1185.4859485420347,-0.3415758188960414
management_only,2009,24,1013.026319349622,963.2565366509532,-10.932707257457835
management_plus_landsat,2009,24,1663.041789598611,1373.1132375274938,-31.159097584822767
management_only,2010,2,635.4292471289281,631.8363893735278,0.3817694724831213
management_plus_landsat,2010,2,3160.1210681455877,3159.9198626833136,-14.29056340789178
management_only,2011,24,4094.3259182992815,3785.2160453766505,-2.271827655363215
management_plus_landsat,2011,24,4628.1737884776685,4324.126782817281,-3.180660629651234
management_only,2012,24,1576.7609024639928,1400.4303040886352,-24.13216780863933
management_plus_landsat,2012,24,1444.7332502798213,1237.8795765136483,-20.099569866117392
management_only,2013,24,890.3723771748561,722.2237421587919,-0.3840167856827385
management_plus_landsat,2013,24,926.2667582519726,742.2460573676358,-0.4978563267916986
management_only,2014,24,2805.944398383845,2511.7925180624984,-0.4708653551467217
management_plus_landsat,2014,24,2947.62603846828,2575.6197090690125,-0.6231533984264273
management_only,2015,24,964.3287988990048,829.6479530490105,-1.0606987114999913
management_plus_landsat,2015,24,1364.5484231757152,1101.7697197115922,-3.126122615904161
management_only,2016,21,1465.0122876146077,1358.3057593375063,-0.1746861982303558
management_plus_landsat,2016,21,2273.6756910905588,2207.755073469401,-1.8294131567013991
management_only,2017,24,2069.826218534451,1793.5453095352234,0.4460587696956712
management_plus_landsat,2017,24,2613.692649267301,2405.4583224874978,0.116706658866871
management_only,2018,24,1158.0826209545903,836.7412464195496,-9.32240223713796
management_plus_landsat,2018,24,725.8079875148593,624.6619916662199,-3.0545734885926548
management_only,2019,24,1105.9639701954677,922.5882676817064,0.3531140979865695
management_plus_landsat,2019,24,783.266535170633,635.852950445568,0.6755372293913258
management_only,2020,24,2019.5069631080933,1791.434116728786,-0.307412077724609
management_plus_landsat,2020,24,1934.926151307925,1701.7228309233994,-0.2001915683340174
management_only,2021,24,1047.423524371315,975.6834612049428,-0.162699919994161
management_plus_landsat,2021,24,536.0137680742702,437.38017893253726,0.6955087019176265
management_only,2022,24,860.6167661068432,755.1639967269052,0.6613521918650906
management_plus_landsat,2022,24,1399.1645589302277,1220.774865516013,0.1049109264817906
management_only,2023,24,3795.1640605605257,3563.814146384795,-0.324939904443916
management_plus_landsat,2023,24,3744.21808255484,3609.1437937153946,-0.2896068867107619
management_only,2024,24,1240.4885762946838,1109.592988944715,0.0149193606865473
management_plus_landsat,2024,24,669.1026899610101,525.4075128201595,0.7134028964874835
management_only,2025,24,2350.386694166436,1978.7236449001196,-0.3949701863158836
management_plus_landsat,2025,24,1832.8438624094345,1578.9325357739951,0.1517239112827937
